timestamp,LD_1,LD_2,LD_3,LD_4,LD_5,LD_6,LD_7,LD_8,RD_1,RD_2,RD_3,RD_4,RD_5,RD_6,RD_7,RD_8
datatime,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
T,,,,,,,,,,,,,,,,
2014-06-10 16:33:24.719801,-56.140599999998813,88.97280000000319,37.666600000000471,-10.665399999998044,-110.53519999999844,35.205600000001141,21.427199999998265,33.857599999999366,-45.350400000002992,84.431600000003527,14.287799999998242,-33.075599999996484,-19.264000000002852,-41.215400000000955,-27.783800000001065,-33.507400000002235
2014-06-10 16:33:24.719801,-55.140599999998813,92.97280000000319,38.666600000000471,-9.6653999999980442,-111.53519999999844,36.205600000001141,24.427199999998265,34.857599999999366,-46.350400000002992,83.431600000003527,14.287799999998242,-34.075599999996484,-20.264000000002852,-40.215400000000955,-26.783800000001065,-32.507400000002235
2014-06-10 16:33:24.719801,-58.140599999998813,87.97280000000319,39.666600000000471,-7.6653999999980442,-113.53519999999844,36.205600000001141,27.427199999998265,35.857599999999366,-46.350400000002992,81.431600000003527,13.287799999998242,-34.075599999996484,-20.264000000002852,-39.215400000000955,-26.783800000001065,-30.507400000002235
2014-06-10 16:33:24.719801,-61.140599999998813,81.97280000000319,40.666600000000471,-7.6653999999980442,-113.53519999999844,36.205600000001141,28.427199999998265,36.857599999999366,-45.350400000002992,81.431600000003527,14.287799999998242,-33.075599999996484,-19.264000000002852,-38.215400000000955,-25.783800000001065,-28.507400000002235
2014-06-10 16:33:24.719801,-60.140599999998813,84.97280000000319,41.666600000000471,-7.6653999999980442,-110.53519999999844,37.205600000001141,28.427199999998265,37.857599999999366,-44.350400000002992,82.431600000003527,15.287799999998242,-31.075599999996484,-18.264000000002852,-36.215400000000955,-24.783800000001065,-24.507400000002235
2014-06-10 16:33:24.719801,-57.140599999998813,92.97280000000319,42.666600000000471,-6.6653999999980442,-108.53519999999844,38.205600000001141,30.427199999998265,38.857599999999366,-41.350400000002992,83.431600000003527,16.287799999998242,-30.075599999996484,-16.264000000002852,-33.215400000000955,-22.783800000001065,-21.507400000002235
2014-06-10 16:33:24.719801,-54.140599999998813,98.97280000000319,42.666600000000471,-5.6653999999980442,-107.53519999999844,39.205600000001141,34.427199999998265,39.857599999999366,-39.350400000002992,84.431600000003527,16.287799999998242,-28.075599999996484,-15.264000000002852,-30.215400000000955,-22.783800000001065,-19.507400000002235
2014-06-10 16:33:24.719801,-55.140599999998813,94.97280000000319,42.666600000000471,-2.6653999999980442,-106.53519999999844,39.205600000001141,39.427199999998265,41.857599999999366,-36.350400000002992,85.431600000003527,16.287799999998242,-27.075599999996484,-14.264000000002852,-28.215400000000955,-21.783800000001065,-18.507400000002235
